2025-08-21 10:08:03 startup archives unpack
2025-08-21 10:08:03 install efibootmgr:amd64 <none> 18-1build2
2025-08-21 10:08:03 status half-installed efibootmgr:amd64 18-1build2
2025-08-21 10:08:03 status triggers-pending man-db:amd64 2.12.0-4build2
2025-08-21 10:08:03 status unpacked efibootmgr:amd64 18-1build2
2025-08-21 10:08:03 install grub-efi-amd64-bin:amd64 <none> 2.12-1ubuntu7.3
2025-08-21 10:08:03 status half-installed grub-efi-amd64-bin:amd64 2.12-1ubuntu7.3
2025-08-21 10:08:04 status unpacked grub-efi-amd64-bin:amd64 2.12-1ubuntu7.3
2025-08-21 10:08:04 install grub-efi-amd64-signed:amd64 <none> 1.202.5+2.12-1ubuntu7.3
2025-08-21 10:08:04 status half-installed grub-efi-amd64-signed:amd64 1.202.5+2.12-1ubuntu7.3
2025-08-21 10:08:04 status unpacked grub-efi-amd64-signed:amd64 1.202.5+2.12-1ubuntu7.3
2025-08-21 10:08:04 install mokutil:amd64 <none> 0.6.0-2build3
2025-08-21 10:08:04 status half-installed mokutil:amd64 0.6.0-2build3
2025-08-21 10:08:04 status unpacked mokutil:amd64 0.6.0-2build3
2025-08-21 10:08:04 install shim-signed:amd64 <none> 1.58+15.8-0ubuntu1
2025-08-21 10:08:04 status half-installed shim-signed:amd64 1.58+15.8-0ubuntu1
2025-08-21 10:08:04 status unpacked shim-signed:amd64 1.58+15.8-0ubuntu1
2025-08-21 10:08:04 startup packages configure
2025-08-21 10:08:04 configure efibootmgr:amd64 18-1build2 <none>
2025-08-21 10:08:04 status unpacked efibootmgr:amd64 18-1build2
2025-08-21 10:08:04 status half-configured efibootmgr:amd64 18-1build2
2025-08-21 10:08:04 status installed efibootmgr:amd64 18-1build2
2025-08-21 10:08:04 configure mokutil:amd64 0.6.0-2build3 <none>
2025-08-21 10:08:04 status unpacked mokutil:amd64 0.6.0-2build3
2025-08-21 10:08:04 status half-configured mokutil:amd64 0.6.0-2build3
2025-08-21 10:08:04 status installed mokutil:amd64 0.6.0-2build3
2025-08-21 10:08:04 configure grub-efi-amd64-bin:amd64 2.12-1ubuntu7.3 <none>
2025-08-21 10:08:04 status unpacked grub-efi-amd64-bin:amd64 2.12-1ubuntu7.3
2025-08-21 10:08:04 status half-configured grub-efi-amd64-bin:amd64 2.12-1ubuntu7.3
2025-08-21 10:08:04 status installed grub-efi-amd64-bin:amd64 2.12-1ubuntu7.3
2025-08-21 10:08:04 configure grub-efi-amd64-signed:amd64 1.202.5+2.12-1ubuntu7.3 <none>
2025-08-21 10:08:04 status unpacked grub-efi-amd64-signed:amd64 1.202.5+2.12-1ubuntu7.3
2025-08-21 10:08:04 status half-configured grub-efi-amd64-signed:amd64 1.202.5+2.12-1ubuntu7.3
2025-08-21 10:08:04 status installed grub-efi-amd64-signed:amd64 1.202.5+2.12-1ubuntu7.3
2025-08-21 10:08:04 configure shim-signed:amd64 1.58+15.8-0ubuntu1 <none>
2025-08-21 10:08:04 status unpacked shim-signed:amd64 1.58+15.8-0ubuntu1
2025-08-21 10:08:04 status half-configured shim-signed:amd64 1.58+15.8-0ubuntu1
2025-08-21 10:08:04 status installed shim-signed:amd64 1.58+15.8-0ubuntu1
2025-08-21 10:08:04 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-08-21 10:08:04 status half-configured man-db:amd64 2.12.0-4build2
2025-08-21 10:08:05 status installed man-db:amd64 2.12.0-4build2
2025-08-21 10:15:04 startup packages remove
2025-08-21 10:15:04 status installed libc6-dev:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:04 remove libc6-dev:amd64 2.39-0ubuntu8.5 <none>
2025-08-21 10:15:04 status half-configured libc6-dev:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:04 status half-installed libc6-dev:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:04 status config-files libc6-dev:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:04 status not-installed libc6-dev:amd64 <none>
2025-08-21 10:15:04 status installed linux-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:04 remove linux-virtual:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:04 status half-configured linux-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:04 status half-installed linux-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:04 status config-files linux-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:04 status not-installed linux-virtual:amd64 <none>
2025-08-21 10:15:04 status installed linux-headers-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:04 remove linux-headers-virtual:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:04 status half-configured linux-headers-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:04 status half-installed linux-headers-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:04 status config-files linux-headers-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:04 status not-installed linux-headers-virtual:amd64 <none>
2025-08-21 10:15:04 status installed linux-headers-generic:amd64 6.8.0-78.78
2025-08-21 10:15:04 remove linux-headers-generic:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:04 status half-configured linux-headers-generic:amd64 6.8.0-78.78
2025-08-21 10:15:04 status half-installed linux-headers-generic:amd64 6.8.0-78.78
2025-08-21 10:15:04 status config-files linux-headers-generic:amd64 6.8.0-78.78
2025-08-21 10:15:04 status not-installed linux-headers-generic:amd64 <none>
2025-08-21 10:15:04 status installed linux-headers-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:04 remove linux-headers-6.8.0-78-generic:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:04 status half-configured linux-headers-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:04 status half-installed linux-headers-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:05 status config-files linux-headers-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:05 status not-installed linux-headers-6.8.0-78-generic:amd64 <none>
2025-08-21 10:15:05 status installed linux-headers-6.8.0-78:all 6.8.0-78.78
2025-08-21 10:15:05 remove linux-headers-6.8.0-78:all 6.8.0-78.78 <none>
2025-08-21 10:15:05 status half-configured linux-headers-6.8.0-78:all 6.8.0-78.78
2025-08-21 10:15:05 status half-installed linux-headers-6.8.0-78:all 6.8.0-78.78
2025-08-21 10:15:06 status config-files linux-headers-6.8.0-78:all 6.8.0-78.78
2025-08-21 10:15:06 status not-installed linux-headers-6.8.0-78:all <none>
2025-08-21 10:15:06 status installed linux-image-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:06 remove linux-image-virtual:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:06 status half-configured linux-image-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:06 status half-installed linux-image-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:06 status config-files linux-image-virtual:amd64 6.8.0-78.78
2025-08-21 10:15:06 status not-installed linux-image-virtual:amd64 <none>
2025-08-21 10:15:06 status installed linux-image-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:06 remove linux-image-6.8.0-78-generic:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:06 status half-configured linux-image-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:06 status half-installed linux-image-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:06 status config-files linux-image-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:06 status installed linux-libc-dev:amd64 6.8.0-78.78
2025-08-21 10:15:06 remove linux-libc-dev:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:06 status half-configured linux-libc-dev:amd64 6.8.0-78.78
2025-08-21 10:15:06 status half-installed linux-libc-dev:amd64 6.8.0-78.78
2025-08-21 10:15:06 status config-files linux-libc-dev:amd64 6.8.0-78.78
2025-08-21 10:15:07 status not-installed linux-libc-dev:amd64 <none>
2025-08-21 10:15:07 status installed linux-modules-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:07 remove linux-modules-6.8.0-78-generic:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:07 status half-configured linux-modules-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:07 status half-installed linux-modules-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:07 status config-files linux-modules-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:07 status installed linux-tools-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:07 remove linux-tools-6.8.0-78-generic:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:07 status half-configured linux-tools-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:07 status half-installed linux-tools-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:07 status config-files linux-tools-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:07 status not-installed linux-tools-6.8.0-78-generic:amd64 <none>
2025-08-21 10:15:07 status installed linux-tools-6.8.0-78:amd64 6.8.0-78.78
2025-08-21 10:15:07 remove linux-tools-6.8.0-78:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:07 status half-configured linux-tools-6.8.0-78:amd64 6.8.0-78.78
2025-08-21 10:15:07 status half-installed linux-tools-6.8.0-78:amd64 6.8.0-78.78
2025-08-21 10:15:07 status config-files linux-tools-6.8.0-78:amd64 6.8.0-78.78
2025-08-21 10:15:07 status not-installed linux-tools-6.8.0-78:amd64 <none>
2025-08-21 10:15:07 status installed linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:07 remove linux-tools-common:all 6.8.0-78.78 <none>
2025-08-21 10:15:07 status half-configured linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:07 status half-installed linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:07 status triggers-pending man-db:amd64 2.12.0-4build2
2025-08-21 10:15:07 status config-files linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:07 status not-installed linux-tools-common:all <none>
2025-08-21 10:15:07 startup packages configure
2025-08-21 10:15:07 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-08-21 10:15:07 status half-configured man-db:amd64 2.12.0-4build2
2025-08-21 10:15:07 status installed man-db:amd64 2.12.0-4build2
2025-08-21 10:15:07 startup packages purge
2025-08-21 10:15:07 purge linux-modules-6.8.0-78-generic:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:07 status config-files linux-modules-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:08 status not-installed linux-modules-6.8.0-78-generic:amd64 <none>
2025-08-21 10:15:08 purge linux-image-6.8.0-78-generic:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:08 status config-files linux-image-6.8.0-78-generic:amd64 6.8.0-78.78
